exp,site,island_main,Island_name,trt_grazing,trt_blind,trt,plot,Name,rute.nr,uniqid,Plott,nut,val
Setesdal_grazing,M1,M,NA,G,B,M-G,3,1B3,1B3S,M1-G-3,1B3,NO3,3.7
Setesdal_grazing,M1,M,NA,G,B,M-G,3,1B3,1B3S,M1-G-3,1B3,NH4,9.6
Setesdal_grazing,M1,M,NA,G,B,M-G,3,1B3,1B3S,M1-G-3,1B3,Ca,414
Setesdal_grazing,M1,M,NA,G,B,M-G,3,1B3,1B3S,M1-G-3,1B3,Mg,282.5
Setesdal_grazing,M1,M,NA,G,B,M-G,3,1B3,1B3S,M1-G-3,1B3,K,205.9
Setesdal_grazing,M1,M,NA,G,B,M-G,3,1B3,1B3S,M1-G-3,1B3,P,1.18
Setesdal_grazing,M1,M,NA,G,B,M-G,3,1B3,1B3S,M1-G-3,1B3,Fe,1499.27
Setesdal_grazing,M1,M,NA,G,B,M-G,3,1B3,1B3S,M1-G-3,1B3,Mn,1.36
Setesdal_grazing,M1,M,NA,G,B,M-G,3,1B3,1B3S,M1-G-3,1B3,Cu,0.144
Setesdal_grazing,M1,M,NA,G,B,M-G,3,1B3,1B3S,M1-G-3,1B3,Zn,8.69
Setesdal_grazing,M1,M,NA,G,B,M-G,3,1B3,1B3S,M1-G-3,1B3,B,0.57
Setesdal_grazing,M1,M,NA,G,B,M-G,3,1B3,1B3S,M1-G-3,1B3,S,77.9
Setesdal_grazing,M1,M,NA,G,B,M-G,3,1B3,1B3S,M1-G-3,1B3,Pb,1.596
Setesdal_grazing,M1,M,NA,G,B,M-G,3,1B3,1B3S,M1-G-3,1B3,Al,160.8
Setesdal_grazing,M1,M,NA,G,B,M-G,3,1B3,1B3S,M1-G-3,1B3,Cd,0.076
Setesdal_grazing,M1,M,NA,NG,A,M-NG,2,1A2,1A2S,M1-NG-2,1A2,NO3,0
Setesdal_grazing,M1,M,NA,NG,A,M-NG,2,1A2,1A2S,M1-NG-2,1A2,NH4,7.5
Setesdal_grazing,M1,M,NA,NG,A,M-NG,2,1A2,1A2S,M1-NG-2,1A2,Ca,867
Setesdal_grazing,M1,M,NA,NG,A,M-NG,2,1A2,1A2S,M1-NG-2,1A2,Mg,793
Setesdal_grazing,M1,M,NA,NG,A,M-NG,2,1A2,1A2S,M1-NG-2,1A2,K,323.9
Setesdal_grazing,M1,M,NA,NG,A,M-NG,2,1A2,1A2S,M1-NG-2,1A2,P,0.21
Setesdal_grazing,M1,M,NA,NG,A,M-NG,2,1A2,1A2S,M1-NG-2,1A2,Fe,613.25
Setesdal_grazing,M1,M,NA,NG,A,M-NG,2,1A2,1A2S,M1-NG-2,1A2,Mn,2.77
Setesdal_grazing,M1,M,NA,NG,A,M-NG,2,1A2,1A2S,M1-NG-2,1A2,Cu,0.132
Setesdal_grazing,M1,M,NA,NG,A,M-NG,2,1A2,1A2S,M1-NG-2,1A2,Zn,28.55
Setesdal_grazing,M1,M,NA,NG,A,M-NG,2,1A2,1A2S,M1-NG-2,1A2,B,0.42
Setesdal_grazing,M1,M,NA,NG,A,M-NG,2,1A2,1A2S,M1-NG-2,1A2,S,31.6
Setesdal_grazing,M1,M,NA,NG,A,M-NG,2,1A2,1A2S,M1-NG-2,1A2,Pb,7.502
Setesdal_grazing,M1,M,NA,NG,A,M-NG,2,1A2,1A2S,M1-NG-2,1A2,Al,41.3
Setesdal_grazing,M1,M,NA,NG,A,M-NG,2,1A2,1A2S,M1-NG-2,1A2,Cd,0.687
Setesdal_grazing,M2,M,NA,G,B,M-G,1,2B1,2B1S,M2-G-1,2B1,NO3,0
Setesdal_grazing,M2,M,NA,G,B,M-G,1,2B1,2B1S,M2-G-1,2B1,NH4,8.3
Setesdal_grazing,M2,M,NA,G,B,M-G,1,2B1,2B1S,M2-G-1,2B1,Ca,331
Setesdal_grazing,M2,M,NA,G,B,M-G,1,2B1,2B1S,M2-G-1,2B1,Mg,215.5
Setesdal_grazing,M2,M,NA,G,B,M-G,1,2B1,2B1S,M2-G-1,2B1,K,28.9
Setesdal_grazing,M2,M,NA,G,B,M-G,1,2B1,2B1S,M2-G-1,2B1,P,2.01
Setesdal_grazing,M2,M,NA,G,B,M-G,1,2B1,2B1S,M2-G-1,2B1,Fe,3163.11
Setesdal_grazing,M2,M,NA,G,B,M-G,1,2B1,2B1S,M2-G-1,2B1,Mn,1.18
Setesdal_grazing,M2,M,NA,G,B,M-G,1,2B1,2B1S,M2-G-1,2B1,Cu,0.116
Setesdal_grazing,M2,M,NA,G,B,M-G,1,2B1,2B1S,M2-G-1,2B1,Zn,6.61
Setesdal_grazing,M2,M,NA,G,B,M-G,1,2B1,2B1S,M2-G-1,2B1,B,1.54
Setesdal_grazing,M2,M,NA,G,B,M-G,1,2B1,2B1S,M2-G-1,2B1,S,55.8
Setesdal_grazing,M2,M,NA,G,B,M-G,1,2B1,2B1S,M2-G-1,2B1,Pb,1.84
Setesdal_grazing,M2,M,NA,G,B,M-G,1,2B1,2B1S,M2-G-1,2B1,Al,143.9
Setesdal_grazing,M2,M,NA,G,B,M-G,1,2B1,2B1S,M2-G-1,2B1,Cd,0.108
Setesdal_grazing,M2,M,NA,NG,A,M-NG,1,2A1,2A1S,M2-NG-1,2A1,NO3,0.4
Setesdal_grazing,M2,M,NA,NG,A,M-NG,1,2A1,2A1S,M2-NG-1,2A1,NH4,19.2
Setesdal_grazing,M2,M,NA,NG,A,M-NG,1,2A1,2A1S,M2-NG-1,2A1,Ca,1111
Setesdal_grazing,M2,M,NA,NG,A,M-NG,1,2A1,2A1S,M2-NG-1,2A1,Mg,285.9
Setesdal_grazing,M2,M,NA,NG,A,M-NG,1,2A1,2A1S,M2-NG-1,2A1,K,271.3
Setesdal_grazing,M2,M,NA,NG,A,M-NG,1,2A1,2A1S,M2-NG-1,2A1,P,0.39
Setesdal_grazing,M2,M,NA,NG,A,M-NG,1,2A1,2A1S,M2-NG-1,2A1,Fe,1170.44
Setesdal_grazing,M2,M,NA,NG,A,M-NG,1,2A1,2A1S,M2-NG-1,2A1,Mn,32.19
Setesdal_grazing,M2,M,NA,NG,A,M-NG,1,2A1,2A1S,M2-NG-1,2A1,Cu,0.328
Setesdal_grazing,M2,M,NA,NG,A,M-NG,1,2A1,2A1S,M2-NG-1,2A1,Zn,8.71
Setesdal_grazing,M2,M,NA,NG,A,M-NG,1,2A1,2A1S,M2-NG-1,2A1,B,0.78
Setesdal_grazing,M2,M,NA,NG,A,M-NG,1,2A1,2A1S,M2-NG-1,2A1,S,50.7
Setesdal_grazing,M2,M,NA,NG,A,M-NG,1,2A1,2A1S,M2-NG-1,2A1,Pb,7.106
Setesdal_grazing,M2,M,NA,NG,A,M-NG,1,2A1,2A1S,M2-NG-1,2A1,Al,189.9
Setesdal_grazing,M2,M,NA,NG,A,M-NG,1,2A1,2A1S,M2-NG-1,2A1,Cd,0.05
Setesdal_grazing,M3,M,NA,G,B,M-G,1,3B1,3B1S,M3-G-1,3B1,NO3,150.8
Setesdal_grazing,M3,M,NA,G,B,M-G,1,3B1,3B1S,M3-G-1,3B1,NH4,65.6
Setesdal_grazing,M3,M,NA,G,B,M-G,1,3B1,3B1S,M3-G-1,3B1,Ca,40
Setesdal_grazing,M3,M,NA,G,B,M-G,1,3B1,3B1S,M3-G-1,3B1,Mg,207.5
